comment,score,id_hotel
Such a great hotel.  Wonderful service.  Friendly  staff.  Ideal location. A block from the main square.  Huge balcony.  Spectacular views. The concierge was so helpful arranging all our excursions and transportation.  Definitely would return.,50,0
"From the lobby, to the the room and then the pool, there is no place in this hotel that is not amazing.  The staff is helpful and very nice.  They go out of their way to make your stay great.  The grounds are lush and lively.",50,0
"Perhaps Loreto's most upscale hotel, with 4 star facilities, located just across the street from the malecon, with full views of the sea of Cortez.  We stayed at the Hotel Oasis, which is a 2/3 star accommodation about 500 yards south but right on the sand, which we preferred to the more upscale accommodation.",50,0
"Pros: We had an absolute lovely time here.  La Mision Hotel is a very nice option when visiting Loreto.  The staff are all very helpful and friendly.   Hotel is very clean.  Beds are wonderful.  Views are magnificent.  There is also a Starbucks in the lobby and they make wonderful coffees. The restaurant is great and if you have a catch, they are more than happy to cook it for you.  The chef made us a delicious ceviche and 3 styles of fish with wonderful dipping sauces, potato mash and veggies.  Rudy, at the front desk was exceptional and always eager to help.  They were all very nice!  Cons: No ice machines in the entire complex.  This was very disappointing.   The rooms do not have a mini fridge.  We were able to get one from Rudy during our stay.  In a hot climate specially, ",40,0
 fridges should be standard in the rooms.  No access to a water machine nor water coolers are available to fill up your own water bottles.  We went to the market and bought our own water bottles.  Towels are a major deal.  We were a family of  3 in our room but they only supplied 2 bath towels a day and not enough face towels or hand towels.,50,0
…,50,0
This is a nice hotel in Loreto with views of the Sea of Cortez.  The staff is very friendly and very accommodating.  Would stay here again.  It is very clean and you can walk to the shopping and restaurants in town.,50,0
"Let me start by saying you will not find a more beautiful,outstanding hotel in Loreto than Hotel La Mision.This was our 2nd time staying here to celebrate our wedding anniversary.From the moment I made our reservation to the day we left we were treated with the upmost respect.We stayed on the third floor ocean view room and it was very nice and clean.I want to thank Angelica Yanez for setting up our champagne and cheese board in our room upon arrival and also all the wonderful staff that went above and beyond to make our stay the very best, there are so many outstanding staff members and I would like to mention a few and thank them for their sincere friendship, Nelson,Edson,Ignacio,Victor,Eduardo Polo,Ivan,Osvaldo,Jesus Mixael,Javier,Eric and Filiberto, you all deserve to be",50,0
 applauded for making us feel at home during our stay.We had a wonderful romantic dinner the night of our anniversary thanks to Angelica for setting everything up for us it was very special and we thank the chef for an outstanding dinner he prepared for us thank you chef Ivan.So if you’re planning a trip to this beautiful town of Loreto don’t hesitate to book your stay at this beautiful hotel right on the malecon overlooking a beautiful ocean you will not regret it.We will definitely return as soon as we can.,40,0
…,50,0
"We had a really great time in las cabañas de Beny who was a really great host ! Beny is very kind and helpful, he gave us some pieces of advice when we arrived and was very friendly !! The cabañas are clean, well-decorated and eco-responsables (some materials are recycled). Plus, you can cook your own food in the kitchen inside the house. It was a wonderful experience ! We really enjoyed it and I would definitly recommand it !",50,1
"Hotel básico pero súper limpio, lo único que el estacionamiento es pequeño pero el lugar es seguro.  Nos quedamos una noche pero satisfechos, sabanas y toallas en excelente estado. Comentaron que inaugurarán alberca en uno o dos meses no recuerdo bien",40,2
"Cute hotel, nice vibe, clean and front desk very attentive. Visited in March 2022 and booked a 2 night stay to relax after a camping trip. The only downside was the pool. It isn’t climatized so on a windy & cold day the water was freezing and they don’t have a hot tub. Tried to cancel 1 night and it wasn’t possible as we’d already payed in full through a site.",20,3
"It is a small boutique hotel with well appointed rooms that are more than comfortable.  The rooms are very clean, the free breakfast offered is more than enough  in this cozy hotel. However in my opinion, what makes this hotel outstanding is the personalized customer service. I found the management very accommodating to all my requests. The location is also very good, close to the beach and the main plaza. I highly recommend this hotel for the casual traveler.",50,3
"The Rosarito Hotel is sweet and clean. The hosts Alejandro and Eduardo were very helpful and kind. The rooms are clean and comfortable. The water is on demand propane so it took me a moment to figure out, but we got it working!  A light made to order Breakfast is served by the pool in their courtyard.  It’s is super safe, as the desk attendant is 24 hours and there are two doors to enter before guest rooms.  It’s walking distance to everything in the town! The Plaza, the historic mission, the bank, the grocery store and very close to the Malecon. I came for a solo birthday trip and the hotel Surprised me With a bottle Of Iced champagne in my Room with bougainvillea flowers  I will come back and enjoyed my stay. Muchas Gracias Rosarito Hotel!!  ",50,3
"Hotel pequeño cerca del malecón y del centro (Iglesia, Palacio Municipal, Museo de las Misiones) cuenta con alberca, habitaciones cómodas, A/C y también incluye el desayuno. La atención por parte del personal es excelente.",50,3
"We came to this hotel on a Saturday night and found a great price and very nice accommodations. Since they don't have private parking, they offered to keep our motorcycle safe on their lobby area. That sealed the deal for us. The place is new, everything in the room smelled new and we had everything we needed. They do have a pool that looks very nice but we were unable to use it due to lack of time. Will definitely stay here again when we come back to Loreto.",50,3
This hotel is a very clean small boutique hotel. We were a group of 4 couples and had the hotel all to ourselves. The receptionist was great and helped us during our stay. The rooms are small but not cramped. They have AC and a fan that helped with the summer heat. We had to change rooms from the start because the air conditioner was not working properly. It is located a quick walk to Loreto's main town plaza and all the restaurants nearby. You can also walk to the marina. I would recommend this hotel for a group that wants to stay near the plaza and all it's restaurants. They also offer free breakfast there or at Orlando restaurant a block away. The food was very good.,30,3
"Al ma arrivo era tutto spento con temperature caldissime 40 gradi  Aria condizionata spenta, frigo completamente staccato  Le parti comuni sono microscopiche e la piscina è una vasca da bagno piccolissima e senza riciclo dell’acqua, uno stagno praticamente  Dicono che non accettano bambini, invece li accettano e non intervengono su basilari regole di educazione, dopo le 24 li fanno urlare nella piscina (pozza ) e non intervengono minimamente  Camere buie, la luce centrale era rotta e quando abbiamo chiesto all’accoglienza ci è stato risposto : “ perché vi serve la luce?” È un loculo la camera ....  aria condizionata funziona malissimo  La reception chiude alle 21 e ti fanno le chiavi per poter rientrare, peccato siano difettose e non aprono  Assolutamente sconsigliato ! Allo",10,3
 stesso prezzo travate molto di più hotel assolutamente migliori ! ,40,3
…,50,3
"This place was amazing, everything worked perfect, the sunset is a must, the people around very friendly. Pancho is the best host I’ve met. Everything was wonderful. The activities they helped us view went great. Will definitely come back.",50,4
"Incredible little gem in Loreto. Wake up to the sunrise outside your door. The bungalows are big as apartments with everything in the kitchen !  I keep coming back here for the location, the cleanliness, the safety and the staff. Gaby at the front desk is just lovely and so helpful !!",50,5
"We stayed here one night in a very cute bungalow that was in a great location across from the Malecon in Loreto.  Gaby, the manager, was very helpful before we even arrived, replying to emails promptly.  She even helped coordinate airline-required Covid testing for us there in the hotel lobby before our departure.  The rooms here are clean and we loved being able to easily walk to restaurants and attractions around Loreto.  We would gladly stay here again!",50,5
"I can't recommend this place highly enough -- literally, everything about it was amazing.  Location -- stunning, right across from the Malecon (and with unrivaled views of the most spectacular sunrises I've ever witnessed).  Grounds...beautiful; every one of the structures has its own lovely outdoor space.  They clean and groom the grounds daily, and are continuing to make even the little improvements at every level.  And Gaby, the wonderful concierge, will go the extra mile to ensure your stay is a memorable one -- when my catamaran tour canceled, she found me a replacement option in literally ten minutes (and don't miss the taco place she and her husband run, Pinche Juan).  Oh, and they will have the COVID test people come to you, and offer a discount, to boot.  Plus they have",50,5
" bikes, which are gratis, and you can store one by your casita (I stayed in the yurt, but I'll be back to stay in the beautiful two bedroom soon).  And they rent by the week, or month, too!    Truly - this was more than a hotel.  It was a home away from home.",50,5
…,50,5
"I spent a wonderful week in Loreto, staying in the lovely back casita at Sukasa Bungalows. The location of the whole property is unbeatable, in a more quiet part of the  malecon, right on the Sea of Cortez. Getting up 40 minutes before sunrise was well worth the effort. I was rewarded with the most spectacular multicolored skies right in front of the property! During the day, I enjoyed laying down on the lounge chairs or reading under the palapa. At mealtime, I was at walking distance from an array of excellent restaurants. I also prepared my own meals in the well equipped kitchen of my casita. If I needed something, I just asked the friendly staff. At night time, the large king size bed was ultra comfortable and the temperature control was easy to operate (ceiling fan with",50,5
" remote, and modern wall AC with remote). The casita was extremely clean and so were the grounds. All the buildings were well taken care of and in excellent condition. The whole place was just charming!",50,5
…,50,5
"Best trip ever! The bungalows are super cute, clean, and had everything we needed for a 1 week vacation. And the staff were extremely nice, over the top helpful and attentive. She helped with dinner and spa reservations as well as set up several excursions for our family of 12. We saw dolphins, fin whale, turtle, caught 8 durados and snorkeling was off the hook! We are definitely going back to SuKasa!",50,5
"A very nice place right in front of the sea. It´s one of the few accommodations in Loreto where the beach is less than 100 m away, so you only have to cross the street and the malecon and you can enjoy the sea and the amazing view.  We got an upgrade to a better room because the air-conditioning in our original room needed maintenance. The fact that this was offered on their initiative and at the same price, shows how much the staff cares about their customers. The staff was extremely nice, the rooms and garden very clean, and it is great that all the rooms have their own place where to sit outdoors and enjoy the nicely decorated garden. Furthermore there is a grill, beach towels and bikes which can be used as well, and free parking in front of the premises. Fast and reliable",50,5
