city,name,price,quality_price,rating,stars,url,id
Loreto,HOTEL LA MISION LORETO ,,4.5,4.5,3.5,https://www.tripadvisor.com/Hotel_Review-g150772-d1159002-Reviews-Hotel_La_Mision_Loreto-Loreto_Baja_California.html,0
Loreto,CABANAS RUSTICAS EL BENNY BY ROTAMUNDOS ,986.0,,5.0,,https://www.tripadvisor.com/Hotel_Review-g150772-d23334112-Reviews-Cabanas_Rusticas_El_Benny_By_Rotamundos-Loreto_Baja_California.html,1
Loreto,OYO HOTEL MIRAMAR - Prices &  Lodge Reviews,510.0,,4.0,,https://www.tripadvisor.com/Hotel_Review-g150772-d14751970-Reviews-OYO_Hotel_Miramar-Loreto_Baja_California.html,2
Loreto,ROSARITO HOTEL ,1861.0,5.0,4.0,,https://www.tripadvisor.com/Hotel_Review-g150772-d16855488-Reviews-Rosarito_Hotel-Loreto_Baja_California.html,3
Loreto,BAJA MIA ,3702.0,,5.0,,https://www.tripadvisor.com/Hotel_Review-g150772-d23601598-Reviews-Baja_Mia-Loreto_Baja_California.html,4
Loreto,SUKASA BUNGALOWS - Updated 2022 Prices &  Ranch Reviews,1661.0,4.5,4.5,,https://www.tripadvisor.com/Hotel_Review-g150772-d153502-Reviews-Sukasa_Bungalows-Loreto_Baja_California.html,5
Cuetzalan del Progreso,HOTEL TASELOTZIN - Prices &  Guest house Reviews,733.0,4.6,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g1065259-d1523039-Reviews-Hotel_Taselotzin-Cuetzalan_del_Progreso_Central_Mexico_and_Gulf_Coast.html,6
Riviera Nayarit,HOTEL YSURI SAYULITA ,1764.0,4.7,5.0,,https://www.tripadvisor.com/Hotel_Review-g445056-d15109902-Reviews-Hotel_Ysuri_Sayulita-Sayulita_Pacific_Coast.html,7
Mazunte,ZOA HOTEL - Updated 2022 Prices &  Reviews,6058.0,4.4,4.5,4.5,https://www.tripadvisor.com/Hotel_Review-g658264-d1999363-Reviews-ZOA_Hotel-Mazunte_Southern_Mexico.html,8
Isla Mujeres,HOTEL MARCIANITO ,,4.4,4.0,2.0,https://www.tripadvisor.com/Hotel_Review-g150810-d286218-Reviews-Hotel_Marcianito-Isla_Mujeres_Yucatan_Peninsula.html,9
Isla Mujeres,VILLA ELENA ISLA MUJERES - Updated 2022 Prices &  Condominium Reviews,2140.0,4.3,4.0,2.5,https://www.tripadvisor.com/Hotel_Review-g150810-d13430811-Reviews-Villa_Elena_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html,10
Isla Mujeres,ICACO ISLAND VILLAGE ,3134.0,4.4,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150810-d12263363-Reviews-Icaco_Island_Village-Isla_Mujeres_Yucatan_Peninsula.html,11
Isla Mujeres,BALU HOSTEL & BAR - Prices &  Reviews,1021.0,4.1,4.5,,https://www.tripadvisor.com/Hotel_Review-g150810-d13324389-Reviews-Balu_Hostel_Bar-Isla_Mujeres_Yucatan_Peninsula.html,12
Isla Mujeres,MARIA'S KAN-KIN ,,3.7,3.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150810-d154560-Reviews-Maria_s_Kan_kin-Isla_Mujeres_Yucatan_Peninsula.html,13
Sisal,CASA KINICH SISAL - Prices &  Specialty Inn Reviews,1177.0,4.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g2550231-d17649966-Reviews-Casa_Kinich_Sisal-Sisal_Yucatan_Peninsula.html,14
Isla Mujeres,VILLAS PUNTA SUR - Prices &  Villa Reviews,,4.4,4.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d969393-Reviews-Villas_Punta_Sur-Isla_Mujeres_Yucatan_Peninsula.html,15
Todos Santos,VISTA TORTUGA VILLAS -  Hotel Reviews,,,3.5,,https://www.tripadvisor.com/Hotel_Review-g150777-d15756220-Reviews-Vista_Tortuga_Villas-Todos_Santos_Baja_California.html,16
Riviera Maya,SERENA GLAMPING TULUM - Updated 2022 Prices &  Campground Reviews,,4.5,4.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d15047780-Reviews-Serena_Glamping_Tulum-Tulum_Yucatan_Peninsula.html,17
Riviera Maya,CASA AGAPE HOTEL BOUTIQUE & BEACH CLUB ,,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d19485073-Reviews-Casa_Agape_Hotel_Boutique_Beach_Club-Tulum_Yucatan_Peninsula.html,18
Riviera Maya,CASA DON DIEGO TULUM ,1390.0,4.5,4.5,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d578621-Reviews-Casa_Don_Diego_Tulum-Tulum_Yucatan_Peninsula.html,19
Riviera Maya,ANAH TULUM ,1073.0,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d11669903-Reviews-Anah_Tulum-Tulum_Yucatan_Peninsula.html,20
Riviera Maya,CENTRAL PARK ,1654.0,4.2,4.5,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d12274879-Reviews-Central_Park-Tulum_Yucatan_Peninsula.html,21
Riviera Maya,HOTEL MA'XANAB TULUM - Updated 2022 Prices &  Reviews,,4.8,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d19006698-Reviews-Hotel_Ma_xanab_Tulum-Tulum_Yucatan_Peninsula.html,22
Riviera Maya,CASA NAWAL ,1702.0,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d20302946-Reviews-Casa_Nawal-Tulum_Yucatan_Peninsula.html,23
Riviera Maya,ELEMENTS TULUM BOUTIQUE HOTEL ,,4.6,4.5,3.5,https://www.tripadvisor.com/Hotel_Review-g150813-d11948831-Reviews-Elements_Tulum_Boutique_Hotel-Tulum_Yucatan_Peninsula.html,24
Riviera Maya,LA TULUMENA ,835.0,5.0,5.0,,https://www.tripadvisor.com/Hotel_Review-g150813-d21204776-Reviews-La_Tulumena-Tulum_Yucatan_Peninsula.html,25
Riviera Maya,XPERIENCE TULUM HOTEL ,,5.0,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d23344694-Reviews-Xperience_Tulum_Hotel-Tulum_Yucatan_Peninsula.html,26
Riviera Maya,HOTEL CIELO MAYA BEACH TULUM ,3220.0,4.3,4.5,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d10536363-Reviews-Hotel_Cielo_Maya_Beach_Tulum-Tulum_Yucatan_Peninsula.html,27
Riviera Maya,SELINA TULUM ,,3.6,4.0,3.0,https://www.tripadvisor.com/Hotel_Review-g150813-d19510259-Reviews-Selina_Tulum-Tulum_Yucatan_Peninsula.html,28
Riviera Maya,ESPLENDOR BY WYNDHAM TULUM NOOK ,,4.3,4.5,4.0,https://www.tripadvisor.com/Hotel_Review-g150813-d23324848-Reviews-Esplendor_By_Wyndham_Tulum_Nook-Tulum_Yucatan_Peninsula.html,29
Isla Mujeres,CASA EL PIO - Updated 2022 Prices &  Villa Reviews,,4.8,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d1223351-Reviews-Casa_El_Pio-Isla_Mujeres_Yucatan_Peninsula.html,30
Riviera Maya,AMAKA CALMA RIVIERA TULUM ,,4.5,4.5,,https://www.tripadvisor.com/Hotel_Review-g150813-d19331068-Reviews-Amaka_Calma_Riviera_Tulum-Tulum_Yucatan_Peninsula.html,31
Isla Mujeres,CASA SIRENA HOTEL ISLA MUJERES - Updated 2022 Prices &  Reviews,,4.9,5.0,,https://www.tripadvisor.com/Hotel_Review-g150810-d627660-Reviews-Casa_Sirena_Hotel_Isla_Mujeres-Isla_Mujeres_Yucatan_Peninsula.html,32
